title_key,media_type,title,release_date,vote_average,vote_count,popularity
tv:71446,tv,Money Heist,2017-05-02,8.231,19648,28.2823
movie:217,movie,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,6.026,9189,14.336
movie:458156,movie,John Wick: Chapter 3 - Parabellum,2019-05-15,7.439,12000,17.6118
movie:605,movie,The Matrix Revolutions,2003-11-05,6.758,11054,16.883
movie:381283,movie,mother!,2017-09-13,6.95,7225,7.9806
movie:557,movie,Spider-Man,2002-05-01,7.35,21269,75.038
tv:82856,tv,The Mandalorian,2019-11-12,8.405,11183,48.6457
movie:126889,movie,Alien: Covenant,2017-05-09,6.185,9614,20.6056
movie:49047,movie,Gravity,2013-10-03,7.173,16589,13.2037
movie:641,movie,Requiem for a Dream,2000-10-06,8.008,11226,7.449
movie:614911,movie,The Midnight Sky,2020-12-10,5.732,2062,6.4709
tv:87739,tv,The Queen's Gambit,2020-10-23,8.424,5704,17.0643
movie:473033,movie,Uncut Gems,2019-08-30,7.171,5534,10.908
movie:6947,movie,The Village,2004-07-30,6.497,4697,9.5415
movie:9833,movie,The Phantom of the Opera,2004-12-08,7.3,1821,11.3491
movie:76341,movie,Mad Max: Fury Road,2015-05-13,7.636,24483,58.8107
movie:559,movie,Spider-Man 3,2007-05-01,6.477,15652,48.2947
movie:1422,movie,The Departed,2006-10-04,8.159,16540,24.8063
movie:333339,movie,Ready Player One,2018-03-28,7.587,17284,19.8837
tv:109958,tv,The Haunting of Bly Manor,2020-10-09,7.56,1457,16.1012
movie:141052,movie,Justice League,2017-11-15,6.07,13877,17.9984
movie:591,movie,The Da Vinci Code,2006-05-17,6.733,10252,16.7942
movie:676,movie,Pearl Harbor,2001-05-21,6.932,7135,11.9854
movie:287947,movie,Shazam!,2019-03-29,6.97,10388,13.9983
movie:62,movie,2001: A Space Odyssey,1968-04-02,8.0,12863,21.2119
movie:153,movie,Lost in Translation,2003-09-18,7.379,8261,13.5766
movie:300668,movie,Annihilation,2018-02-22,6.447,9560,14.2654
movie:450465,movie,Glass,2019-01-16,6.664,9216,11.9144
movie:36668,movie,X-Men: The Last Stand,2006-05-24,6.425,10596,1.175
movie:346364,movie,It,2017-09-06,7.24,20590,25.9763
movie:70981,movie,Prometheus,2012-05-30,6.607,13543,16.8127
movie:429617,movie,Spider-Man: Far From Home,2019-06-28,7.395,17490,51.6488
movie:329865,movie,Arrival,2016-11-10,7.633,19764,24.2316
